2017-10-24 14:08:01.616000,b'Shorting to 1.3115 #gbpusd #forex $GBPUSD https://t.co/Tm44EBXGze',TV_Trading Ideas
2017-10-24 14:08:01.642000,b'Shorting to 1.3115 #gbpusd #forex - $GBPUSD chart https://t.co/4Tq2owWkpL',Frannel Franco
2017-10-24 14:09:55.195000,b'Weekly #video #analysis of $GBPUSD for 24.10.2017 by #instinctltd #forex #trading https://t.co/WkhWPGjCqP',Instinct
2017-10-24 14:09:55.249000,b'Weekly #video #analysis of $USDCAD for 24.10.2017 by #instinctltd #forex #trading https://t.co/zB5tTNZxiT',Instinct
2017-10-24 14:09:55.326000,b'Weekly #video #analysis of $USDJPY for 24.10.2017 by #instinctltd #forex #trading https://t.co/bZPN63lUNm',Instinct
2017-10-24 14:09:55.360000,b'Weekly #video #analysis of $EURUSD for 24.10.2017 by #instinctltd #forex #trading https://t.co/vQxjS6qPqU',Instinct
2017-10-24 14:09:55.653000,b'Weekly #video #analysis of $AUDUSD for 24.10.2017 by #instinctltd #forex #trading https://t.co/Q4ZzIv7CRo',Instinct
2017-10-24 14:10:00.665000,"b""Today's $GBPUSD #Forex signal- look for a long around 1.3162 https://t.co/cWuOocRjZx https://t.co/37mSqUw5pz""",DailyForex
2017-10-24 14:10:08.735000,b'USDCAD $USDCAD https://t.co/tuK4fyvgCg TV_TradingIdeas',APPRENDRE A TRADER
2017-10-24 14:10:09.716000,b'GBP/USD: analisis gelombang $GBPUSD https://t.co/X6qXFpeSCc TV_TradingIdeas',APPRENDRE A TRADER
2017-10-24 14:10:10.823000,b'Shorting to 1.3115 #gbpusd #forex $GBPUSD https://t.co/Ernb5JMLNu TV_TradingIdeas',APPRENDRE A TRADER
2017-10-24 14:10:23.508000,"b""RT @ItsForexTime: Watch Today's FXTM #MarketUpdate with @Lukman_FXTM - Key Events: $EURUSD $GBPUSD $GOLD https://t.co/KPVqBdW6Zp""",canadianmines
2017-10-24 14:13:08.868000,b'GBPUSD https://t.co/kiDI7a6det $GBPUSD $GBP $FXB',qwerl nouvèl
2017-10-24 14:13:21.079000,b'#USDJPY https://t.co/ZTIcvYqTx7 Pot. cont. Uptrend LONGERTERM Wly-Dly-Hly combo chart $USDJPY #JPY #FX https://t.co/bS0v2mbWXR',Co-Branded FinGraphs
2017-10-24 14:13:44.818000,b'GBPUSD $GBPUSD https://t.co/CmqjRye5cR',TV_Trading Ideas
2017-10-24 14:14:19.357000,"b'Closed Buy 0.01 Lots $USDCAD 1.26542 for -1.3 pips, total for today +70.4 pips'",Peter Miller
2017-10-24 14:14:19.531000,"b'Closed Buy 0.01 Lots $USDCAD 1.26408 for +12.3 pips, total for today +82.7 pips'",Peter Miller
2017-10-24 14:15:13.030000,b'GBP/USD: analisis wave $GBPUSD https://t.co/f9vUQAlxzE',TV_Trading Ideas
2017-10-24 14:15:23.305000,b'GBPUSD $GBPUSD https://t.co/1k6fmJK5VX TV_TradingIdeas',APPRENDRE A TRADER
2017-10-24 14:15:26.013000,b'GBP/USD: analisis wave $GBPUSD https://t.co/xVfSwdP205 TV_TradingIdeas',APPRENDRE A TRADER
